Date,Close,Open,High,Low,Volume BTC
06/24/18,6152,6175,6243.5,5745,2100
06/25/18,6234,6152,6333.2,6062.4,1280
06/26/18,6055,6234,6277.4,6040,1120
06/27/18,6129.7,6042.8,6180.1,5983.1,780
06/28/18,5867.1,6129.7,6174.5,5830,1010
06/29/18,6200,5867.1,6287.9,5800,1310
06/30/18,6403.2,6172.7,6500.1,6172.7,1200
07/01/18,6371.4,6403.2,6436.9,6240,720
07/02/18,6601.9,6371.3,6665.9,6265,1850
07/03/18,6524.6,6601.3,6673.9,6450,1330
07/04/18,6600,6527.3,6780,6401.9,1290
07/05/18,6525.7,6600,6715.9,6455,1070
07/06/18,6624,6536.5,6650,6448,780
07/07/18,6776.9,6625.6,6829.4,6510,430
07/08/18,6706.7,6776.9,6789.3,6680,730
07/09/18,6662,6706.7,6794.2,6615,730
07/10/18,6301,6678.1,6693.8,6277,1580
07/11/18,6360.2,6301,6412.4,6288.2,700
07/12/18,6240,6369,6381.8,6080,1040
07/13/18,6210,6240,6328.9,6120,550
07/14/18,6268.9,6220.5,6310.7,6158,320
07/15/18,6360,6268.9,6399,6216.2,620
07/16/18,6717.8,6360,6735.8,6330,1340
07/17/18,7304.8,6718,7414.4,6649.9,2520
07/18/18,7360,7306.6,7590,7239.5,1940
07/19/18,7478,7360,7535.7,7265,1300
07/20/18,7322.2,7478,7678.1,7285.1,1520
07/21/18,7417.1,7325,7460,7190.2,720
07/22/18,7400,7417,7579.6,7343.6,760
07/23/18,7722,7396,7800,7378.5,1510
07/24/18,8409,7722,8479.8,7685,2150
07/25/18,8170,8428,8498,8034.9,1710
07/26/18,7941,8190.2,8310.1,7831,1520
07/27/18,8189,7954.8,8285,7811,1270
07/28/18,8237,8206.7,8241.2,8073,570
07/29/18,8220,8230,8286.2,8125,530
07/30/18,8203.9,8214.9,8280,7870.5,1360
07/31/18,7725.8,8199.4,8199.4,7650,1720
08/01/18,7599,7725.8,7769.9,7425,1240
08/02/18,7546.1,7617.3,7700,7460,920
08/03/18,7404.8,7557.3,7557.3,7289,1300
08/04/18,6986.5,7425.6,7490,6945,1180
08/05/18,7040,6987.4,7095,6886,750
08/06/18,6917.4,7026.3,7160.8,6851,750
08/07/18,6735,6936.4,7156,6680,1290
08/08/18,6285,6711,6728.9,6134,2230
08/09/18,6541.3,6284,6630,6180,1360
08/10/18,6150,6546.5,6573.6,6026.3,1570
08/11/18,6202.3,6164.4,6464.4,6000,1340
08/12/18,6313.7,6239.7,6452.1,6158.7,630
08/13/18,6249,6310,6507.6,6147.9,1050
08/14/18,6184.2,6249,6263.6,5878.9,2260
08/15/18,6255.7,6193.4,6600,6160.4,1890
08/16/18,6303.7,6280,6474,6207,800
08/17/18,6598.6,6305.4,6598.6,6290,1080
08/18/18,6378,6600,6625.4,6290.6,970
08/19/18,6485.6,6378,6543.7,6300,460
08/20/18,6262,6485.6,6515,6238.6,650
08/21/18,6470,6262,6486.4,6251.6,560
08/22/18,6336.5,6485.6,6870,6254.1,2030
08/23/18,6522.8,6381.9,6560.2,6336.5,610
08/24/18,6680.7,6538.5,6725,6455,550
08/25/18,6742.4,6680.7,6775,6650.9,640
08/26/18,6710.7,6742.4,6780,6562.8,460
08/27/18,6920,6715.9,6931.8,6650,700
08/28/18,7078,6903.5,7134.6,6860,1120
08/29/18,7030,7079,7124,6920.3,890
08/30/18,6990,7030,7050,6800,900
08/31/18,7027,6989.8,7080,6880.5,730
09/01/18,7190,7020.7,7271.4,7015.5,1030
09/02/18,7285.2,7187.5,7340,7116.5,880
09/03/18,7260,7318.3,7331,7180,670
09/04/18,7365,7272,7416.2,7226,630
09/05/18,6689.2,7365,7413,6689.2,1770
09/06/18,6515.5,6722.8,6727.3,6301.5,1910
09/07/18,6387.2,6530.4,6548,6315.8,680
09/08/18,6186.6,6417.7,6485,6124.8,710
09/09/18,6240,6198.2,6446.3,6150,500
09/10/18,6325,6237.5,6355.7,6210,500
